gene,module,n
NCAM2,turquoise,1278
SLC2A2,blue,703
ACSS3,blue,703
TSLP,blue,703
C3orf57,yellow,513
PPM1E,grey,1238
STAB2,turquoise,1278
XDH,blue,703
TMEM156,brown,642
PCOLCE2,grey,1238
C6orf132,turquoise,1278
SLC22A15,yellow,513
SULT1B1,blue,703
HEATR7B2,grey,1238
SLC6A8,yellow,513
PKD1L2,grey,1238
HTRA3,turquoise,1278
MOGAT3,blue,703
ST8SIA3,grey,1238
RBP2,grey,1238
KIRREL,green,313
CES8,blue,703
DTX1,grey,1238
ANXA3,turquoise,1278
MMP10,turquoise,1278
C8orf79,turquoise,1278
TMEM151A,grey,1238
STRA6,turquoise,1278
C20orf103,turquoise,1278
DES,turquoise,1278
FGB,blue,703
WASF3,grey,1238
KNG1,blue,703
SMC1B,yellow,513
EYA4,red,166
HS3ST4,black,147
CTSG,grey,1238
LGALS2,brown,642
GGTLC2,grey,1238
TNNI1,grey,1238
UGT2A3,green,313
GGT1,turquoise,1278
NOVA1,turquoise,1278
PROZ,blue,703
LOC647309,blue,703
IGFBP2,blue,703
CADPS,yellow,513
MKRN3,red,166
FOSB,turquoise,1278
CDO1,blue,703
DIO3,turquoise,1278
TOX,brown,642
C6orf138,grey,1238
DNAH5,grey,1238
GLB1L2,turquoise,1278
LYPD6,yellow,513
HK2,brown,642
SOX2,grey,1238
SIX2,yellow,513
PCSK1,grey,1238
GSPT2,turquoise,1278
SYPL2,grey,1238
FCRL5,brown,642
FREM1,turquoise,1278
ACCN2,black,147
TMED7-TICAM2,green,313
C1orf186,yellow,513
RTBDN,grey,1238
BMP8B,green,313
HORMAD2,blue,703
FAHD2B,grey,1238
F12,blue,703
CDC42BPG,grey,1238
SPIB,brown,642
CYP2D7P1,blue,703
CPNE7,turquoise,1278
LOC254559,brown,642
TFF3,turquoise,1278
RSPO3,turquoise,1278
TSPY2,red,166
EVC2,turquoise,1278
SPATA18,grey,1238
RET,turquoise,1278
AEBP1,turquoise,1278
IGDCC4,turquoise,1278
NBPF16,green,313
PROM2,turquoise,1278
TSPAN5,black,147
RIPPLY1,blue,703
CRLF1,turquoise,1278
HAO1,blue,703
PEBP4,grey,1238
FCN3,turquoise,1278
LOC723809,yellow,513
CASR,grey,1238
C6orf105,brown,642
PPARGC1A,blue,703
SALL2,yellow,513
HIST3H2A,yellow,513
MAPK8IP2,grey,1238
C21orf84,grey,1238
GAGE2A,red,166
TREML3,grey,1238
PPAN-P2RY11,grey,1238
C5orf49,grey,1238
TNFSF12-TNFSF13,brown,642
ST6GAL2,turquoise,1278
TRIM71,yellow,513
FAM99B,blue,703
ADAMTS17,blue,703
ADRA1D,grey,1238
NRXN2,grey,1238
APOH,blue,703
FLJ23867,turquoise,1278
SGCD,turquoise,1278
APOL5,grey,1238
ZDHHC19,blue,703
C4orf48,brown,642
PPP1R14D,grey,1238
ENPP6,grey,1238
NFATC2,green,313
H2AFY2,yellow,513
GDF2,turquoise,1278
EPHA1,blue,703
APOBEC3B,grey,1238
CES1,blue,703
SERPINE2,turquoise,1278
PGAM2,grey,1238
TNFSF14,green,313
SDR42E1,grey,1238
KLK3,grey,1238
FAM171A1,black,147
FIBIN,turquoise,1278
ANO1,blue,703
GABRA2,grey,1238
PTPN20B,yellow,513
RGAG1,blue,703
NEURL3,yellow,513
BACE2,turquoise,1278
ATF5,grey,1238
HYDIN,grey,1238
ZNF204P,yellow,513
KBTBD11,turquoise,1278
PDE9A,turquoise,1278
LEFTY1,turquoise,1278
KLF5,turquoise,1278
PCDHGB2,green,313
COL24A1,red,166
MFAP3L,blue,703
C21orf125,grey,1238
PLEKHG4B,turquoise,1278
MACC1,turquoise,1278
FLRT2,turquoise,1278
FKBP1B,grey,1238
ANKS1B,grey,1238
SRPX,turquoise,1278
TKTL1,red,166
SYNGR1,grey,1238
TFAP2A,yellow,513
KRT86,turquoise,1278
ABCB1,blue,703
ZNF208,yellow,513
NBLA00301,turquoise,1278
C3orf52,turquoise,1278
VANGL2,turquoise,1278
MAMDC4,grey,1238
TPTE,red,166
FMOD,turquoise,1278
USH2A,blue,703
HGF,turquoise,1278
TRAM1L1,yellow,513
LOC441869,grey,1238
ABCB4,blue,703
CHGA,yellow,513
GPD1,blue,703
SLC2A9,blue,703
ARHGAP8,turquoise,1278
FCRLA,brown,642
FZD9,grey,1238
LBP,blue,703
PCDHB5,turquoise,1278
C3orf14,grey,1238
SOD3,turquoise,1278
PCDHGB4,green,313
DCAF8L1,red,166
LRRC15,turquoise,1278
COL1A1,turquoise,1278
SLFN13,brown,642
PCP4,black,147
CSTA,grey,1238
MKX,grey,1238
LOC441666,yellow,513
LEF1,brown,642
CDH19,turquoise,1278
RAB3B,grey,1238
TCAM1P,yellow,513
LRRTM4,grey,1238
GUCA2A,yellow,513
SPOCK3,grey,1238
COL9A2,yellow,513
NELL2,brown,642
INHBC,blue,703
KIF26B,turquoise,1278
FIGF,black,147
CTH,blue,703
TMEM130,turquoise,1278
SLC6A13,blue,703
TTPA,blue,703
TNFSF11,grey,1238
DSCAML1,turquoise,1278
PANX2,grey,1238
PCDHGA3,green,313
PCDHA11,turquoise,1278
C8A,blue,703
IL1RL2,grey,1238
WIPF3,turquoise,1278
MAGEA11,red,166
PCDHGA4,green,313
INHBE,grey,1238
ADAMTS2,turquoise,1278
BCMO1,grey,1238
ZYG11A,grey,1238
ADCY5,turquoise,1278
KRT6B,turquoise,1278
